daily,f0_
2013-11-16,109288
2013-11-17,86247
2013-11-18,78655
2013-11-19,79102
2013-11-20,86534
2013-11-21,89006
2013-11-22,103494
2013-11-23,101467
2013-11-24,74087
2013-11-25,67712
2013-11-26,70254
2013-11-27,75141
2013-11-28,47613
2013-11-29,57965
2013-11-30,78027
2013-12-01,69822
2013-12-02,83086
2013-12-03,84876
2013-12-04,85832
2013-12-05,99739
2013-12-06,119991
2013-12-07,117593
2013-12-08,86114
2013-12-09,86699
2013-12-10,88308
2013-12-11,91426
2013-12-12,102651
2013-12-13,118018
2013-12-14,116257
2013-12-15,87565
2013-12-16,81770
2013-12-17,84897
2013-12-18,91036
2013-12-19,97616
2013-12-20,110661
2013-12-21,98595
2013-12-22,70241
2013-12-23,72051
2013-12-24,45163
2013-12-25,19934
2013-12-26,44106
2013-12-27,66373
2013-12-28,76024
2013-12-29,76237
2013-12-30,75064
2013-12-31,99423
2014-01-01,81884
2014-01-02,59305
2014-01-03,77552
2014-01-04,73649
2014-01-05,55488
2014-01-06,53168
2014-01-07,63534
2014-01-08,75086
2014-01-09,82433
2014-01-10,94464
2014-01-11,90624
2014-01-12,73522
2014-01-13,67248
2014-01-14,73453
2014-01-15,79199
2014-01-16,85667
2014-01-17,103154
2014-01-18,100233
2014-01-19,82131
2014-01-20,60996
2014-01-21,72706
2014-01-22,80345
2014-01-23,90474
2014-01-24,104167
2014-01-25,101230
2014-01-26,73934
2014-01-27,69451
2014-01-28,71104
2014-01-29,79625
2014-01-30,83411
2014-01-31,99297
2014-02-01,91709
2014-02-02,76923
2014-02-03,74207
2014-02-04,75856
2014-02-05,75446
2014-02-06,95353
2014-02-07,109486
2014-02-08,103138
2014-02-09,76583
2014-02-10,77477
2014-02-11,81616
2014-02-12,83336
2014-02-13,90514
2014-02-14,112048
2014-02-15,111416
2014-02-16,86962
2014-02-17,60858
2014-02-18,77328
2014-02-19,82994
2014-02-20,99789
2014-02-21,115215
2014-02-22,110347
2014-02-23,83492
2014-02-24,75486
2014-02-25,81868
2014-02-26,90602
2014-02-27,98748
2014-02-28,110654
2014-03-01,111084
2014-03-02,85677
2014-03-03,81162
2014-03-04,87762
2014-03-05,90411
2014-03-06,97297
2014-03-07,106816
2014-03-08,113171
2014-03-09,85073
2014-03-10,78208
2014-03-11,85733
2014-03-12,94250
2014-03-13,105723
2014-03-14,124267
2014-03-15,170271
2014-03-16,105613
2014-03-17,95303
2014-03-18,90869
2014-03-19,96378
2014-03-20,101673
2014-03-21,115462
2014-03-22,115657
2014-03-23,98798
2014-03-24,86403
2014-03-25,89217
2014-03-26,92556
2014-03-27,102815
2014-03-28,117037
2014-03-29,115390
2014-03-30,96231
2014-03-31,82225
2014-04-01,89404
2014-04-02,91703
2014-04-03,108926
2014-04-04,129657
2014-04-05,124455
2014-04-06,100114
2014-04-07,86305
2014-04-08,92234
2014-04-09,100070
2014-04-10,104500
2014-04-11,114805
2014-04-12,115974
2014-04-13,96475
2014-04-14,92203
2014-04-15,96592
2014-04-16,99858
2014-04-17,104517
2014-04-18,114369
2014-04-19,103921
2014-04-20,75007
2014-04-21,80875
2014-04-22,91819
2014-04-23,104882
2014-04-24,112433
2014-04-25,123501
2014-04-26,131306
2014-04-27,103028
2014-04-28,93491
2014-04-29,91707
2014-04-30,101525
2014-05-01,110422
2014-05-02,128012
2014-05-03,132152
2014-05-04,107290
2014-05-05,100353
2014-05-06,99297
2014-05-07,97848
2014-05-08,105679
2014-05-09,125721
2014-05-10,118866
2014-05-11,91614
2014-05-12,89882
2014-05-13,100368
2014-05-14,110007
2014-05-15,122977
2014-05-16,145079
2014-05-17,140714
2014-05-18,124794
2014-05-19,106868
2014-05-20,109390
2014-05-21,110744
2014-05-22,110756
2014-05-23,117513
2014-05-24,119469
2014-05-25,111769
2014-05-26,75697
2014-05-27,90429
2014-05-28,97979
2014-05-29,107169
2014-05-30,132366
2014-05-31,137268
2014-06-01,118874
2014-06-02,101495
2014-06-03,100505
2014-06-04,110634
2014-06-05,109907
2014-06-06,127222
2014-06-07,137068
2014-06-08,119289
2014-06-09,105064
2014-06-10,125697
2014-06-11,117513
2014-06-12,117031
2014-06-13,128386
2014-06-14,137270
2014-06-15,102224
2014-06-16,96822
2014-06-17,99615
2014-06-18,113513
2014-06-19,120933
2014-06-20,135055
2014-06-21,134205
2014-06-22,112288
2014-06-23,96004
2014-06-24,102808
2014-06-25,110058
2014-06-26,122360
2014-06-27,133478
2014-06-28,137248
2014-06-29,110824
2014-06-30,91511
2014-07-01,90398
2014-07-02,96220
2014-07-03,93947
2014-07-04,104478
2014-07-05,103973
2014-07-06,83135
2014-07-07,80255
2014-07-08,85476
2014-07-09,96701
2014-07-10,107428
2014-07-11,129330
2014-07-12,135000
2014-07-13,109547
2014-07-14,91133
2014-07-15,95563
2014-07-16,103698
2014-07-17,111906
2014-07-18,131890
2014-07-19,142140
2014-07-20,114589
2014-07-21,93777
2014-07-22,99370
2014-07-23,103408
2014-07-24,114703
2014-07-25,133012
2014-07-26,136481
2014-07-27,113907
2014-07-28,91709
2014-07-29,99246
2014-07-30,105980
2014-07-31,115640
2014-08-01,130504
2014-08-02,131556
2014-08-03,119513
2014-08-04,98888
2014-08-05,92354
2014-08-06,96712
2014-08-07,107608
2014-08-08,128286
2014-08-09,130570
2014-08-10,104765
2014-08-11,93028
2014-08-12,95638
2014-08-13,101394
2014-08-14,113628
2014-08-15,123235
2014-08-16,129762
2014-08-17,101607
2014-08-18,86232
2014-08-19,99572
2014-08-20,103874
2014-08-21,115482
2014-08-22,129850
2014-08-23,130233
2014-08-24,105729
2014-08-25,89037
2014-08-26,89485
2014-08-27,92445
2014-08-28,100626
2014-08-29,115963
2014-08-30,120753
2014-08-31,117596
2014-09-01,73886
2014-09-02,78737
2014-09-03,88412
2014-09-04,103595
2014-09-05,122620
2014-09-06,122387
2014-09-07,108574
2014-09-08,93703
2014-09-09,101560
2014-09-10,114818
2014-09-11,118165
2014-09-12,139410
2014-09-13,132599
2014-09-14,109550
2014-09-15,94243
2014-09-16,97653
2014-09-17,107101
2014-09-18,117213
2014-09-19,133433
2014-09-20,130882
2014-09-21,107627
2014-09-22,97896
2014-09-23,98888
2014-09-24,100123
2014-09-25,102800
2014-09-26,118734
2014-09-27,129441
2014-09-28,111498
2014-09-29,97881
2014-09-30,104086
2014-10-01,105485
2014-10-02,114144
2014-10-03,129970
2014-10-04,119442
2014-10-05,95026
2014-10-06,91788
2014-10-07,97602
2014-10-08,103962
2014-10-09,113443
2014-10-10,130184
2014-10-11,124359
2014-10-12,109102
2014-10-13,97362
2014-10-14,110196
2014-10-15,111649
2014-10-16,119504
2014-10-17,140075
2014-10-18,145230
2014-10-19,122988
2014-10-20,101361
2014-10-21,104195
2014-10-22,105117
2014-10-23,112268
2014-10-24,122352
2014-10-25,119649
2014-10-26,104141
2014-10-27,94472
2014-10-28,104733
2014-10-29,109370
2014-10-30,113364
2014-10-31,138303
2014-11-01,154858
2014-11-02,111905
2014-11-03,100724
2014-11-04,107992
2014-11-05,106733
2014-11-06,109195
2014-11-07,116472
2014-11-08,111508
2014-11-09,89507
2014-11-10,80021
2014-11-11,86803
2014-11-12,98666
2014-11-13,106731
2014-11-14,120672
2014-11-15,116502
2014-11-16,98514
2014-11-17,103131
2014-11-18,102235
2014-11-19,100273
2014-11-20,108360
2014-11-21,116811
2014-11-22,100421
2014-11-23,86888
2014-11-24,84176
2014-11-25,84436
2014-11-26,77823
2014-11-27,52424
2014-11-28,64701
2014-11-29,82033
2014-11-30,76341
2014-12-01,99350
2014-12-02,103526
2014-12-03,107551
2014-12-04,116504
2014-12-05,126803
2014-12-06,120894
2014-12-07,89380
2014-12-08,86525
2014-12-09,92114
2014-12-10,96552
2014-12-11,110132
2014-12-12,129454
2014-12-13,119363
2014-12-14,89516
2014-12-15,91042
2014-12-16,95215
2014-12-17,102760
2014-12-18,112863
2014-12-19,121958
2014-12-20,106048
2014-12-21,84043
2014-12-22,82504
2014-12-23,73136
2014-12-24,48058
2014-12-25,21558
2014-12-26,46579
2014-12-27,66231
2014-12-28,62314
2014-12-29,65500
2014-12-30,77624
2014-12-31,99016
2015-01-01,91703
2015-01-02,68769
2015-01-03,71289
2015-01-04,60807
2015-01-05,74851
2015-01-06,78800
2015-01-07,77134
2015-01-08,83281
2015-01-09,103250
2015-01-10,89510
2015-01-11,72195
2015-01-12,82645
2015-01-13,84760
2015-01-14,90016
2015-01-15,91223
2015-01-16,102549
2015-01-17,95128
2015-01-18,80686
2015-01-19,60664
2015-01-20,76661
2015-01-21,79762
2015-01-22,89150
2015-01-23,101895
2015-01-24,93718
2015-01-25,87994
2015-01-26,94392
2015-01-27,91782
2015-01-28,88431
2015-01-29,90285
2015-01-30,106390
2015-01-31,94099
2015-02-01,58775
2015-02-02,74475
2015-02-03,87301
2015-02-04,94309
2015-02-05,102110
2015-02-06,109119
2015-02-07,102018
2015-02-08,77725
2015-02-09,83472
2015-02-10,85090
2015-02-11,89695
2015-02-12,102987
2015-02-13,119704
2015-02-14,124462
2015-02-15,84004
2015-02-16,72269
2015-02-17,86691
2015-02-18,99787
2015-02-19,104068
2015-02-20,117970
2015-02-21,109350
2015-02-22,92104
2015-02-23,91243
2015-02-24,93496
2015-02-25,97435
2015-02-26,108075
2015-02-27,124686
2015-02-28,111542
2015-03-01,81259
2015-03-02,80992
2015-03-03,88791
2015-03-04,92547
2015-03-05,105504
2015-03-06,122016
2015-03-07,108824
2015-03-08,89138
2015-03-09,88920
2015-03-10,85875
2015-03-11,89597
2015-03-12,99300
2015-03-13,114853
2015-03-14,152559
2015-03-15,87976
2015-03-16,78518
2015-03-17,94926
2015-03-18,94263
2015-03-19,100225
2015-03-20,110955
2015-03-21,107421
2015-03-22,91170
2015-03-23,91263
2015-03-24,94881
2015-03-25,94614
2015-03-26,97356
2015-03-27,112476
2015-03-28,102529
2015-03-29,82971
2015-03-30,74039
2015-03-31,77773
2015-04-01,80771
2015-04-02,92034
2015-04-03,94560
2015-04-04,82694
2015-04-05,69412
2015-04-06,76629
2015-04-07,85230
2015-04-08,87455
2015-04-09,94424
2015-04-10,107572
2015-04-11,99154
2015-04-12,86291
2015-04-13,93002
2015-04-14,98914
2015-04-15,102882
2015-04-16,103167
2015-04-17,112371
2015-04-18,112837
2015-04-19,88611
2015-04-20,86390
2015-04-21,90795
2015-04-22,97957
2015-04-23,101945
2015-04-24,114591
2015-04-25,103831
2015-04-26,84885
2015-04-27,82362
2015-04-28,84488
2015-04-29,92114
2015-04-30,102244
2015-05-01,111794
2015-05-02,111634
2015-05-03,97639
2015-05-04,86693
2015-05-05,99653
2015-05-06,99224
2015-05-07,102002
2015-05-08,107706
2015-05-09,95734
2015-05-10,76835
2015-05-11,86201
2015-05-12,93250
2015-05-13,98228
2015-05-14,107038
2015-05-15,117599
2015-05-16,114881
2015-05-17,101856
2015-05-18,98067
2015-05-19,101508
2015-05-20,99226
2015-05-21,97556
2015-05-22,97320
2015-05-23,92531
2015-05-24,86631
2015-05-25,58082
2015-05-26,79442
2015-05-27,86036
2015-05-28,98539
2015-05-29,116501
2015-05-30,124517
2015-05-31,98959
2015-06-01,93889
2015-06-02,92113
2015-06-03,93392
2015-06-04,97489
2015-06-05,106752
2015-06-06,103024
2015-06-07,81553
2015-06-08,87351
2015-06-09,90216
2015-06-10,96460
2015-06-11,104060
2015-06-12,116780
2015-06-13,119217
2015-06-14,102501
2015-06-15,105960
2015-06-16,105878
2015-06-17,97561
2015-06-18,102389
2015-06-19,107274
2015-06-20,103988
2015-06-21,76406
2015-06-22,82075
2015-06-23,85595
2015-06-24,95008
2015-06-25,100789
2015-06-26,106927
2015-06-27,91711
2015-06-28,86057
2015-06-29,75871
2015-06-30,76440
2015-07-01,81115
2015-07-02,88085
2015-07-03,93291
2015-07-04,97373
2015-07-05,85154
2015-07-06,85142
2015-07-07,80706
2015-07-08,84652
2015-07-09,92765
2015-07-10,103617
2015-07-11,104292
2015-07-12,73324
2015-07-13,69664
2015-07-14,71846
2015-07-15,72608
2015-07-16,78952
2015-07-17,81227
2015-07-18,81804
2015-07-19,85351
2015-07-20,78225
2015-07-21,77364
2015-07-22,84695
2015-07-23,91203
2015-07-24,102198
2015-07-25,101835
2015-07-26,77967
2015-07-27,75150
2015-07-28,83394
2015-07-29,90973
2015-07-30,98976
2015-07-31,105898
2015-08-01,99035
2015-08-02,89621
2015-08-03,80753
2015-08-04,75202
2015-08-05,82142
2015-08-06,91331
2015-08-07,101887
2015-08-08,96447
2015-08-09,77070
2015-08-10,74549
2015-08-11,79012
2015-08-12,84515
2015-08-13,94579
2015-08-14,103557
2015-08-15,96352
2015-08-16,81466
2015-08-17,78539
2015-08-18,83884
2015-08-19,88764
2015-08-20,92100
2015-08-21,100832
2015-08-22,92739
2015-08-23,75037
2015-08-24,71814
2015-08-25,73049
2015-08-26,78216
2015-08-27,85943
2015-08-28,91393
2015-08-29,85920
2015-08-30,70088
2015-08-31,67986
2015-09-01,75559
2015-09-02,80451
2015-09-03,87886
2015-09-04,88931
2015-09-05,83821
2015-09-06,84608
2015-09-07,55052
2015-09-08,74567
2015-09-09,76634
2015-09-10,88244
2015-09-11,101122
2015-09-12,92295
2015-09-13,79018
2015-09-14,77109
